"category";"name";"description";"level"
"Science";"Scientist";"I perform experiments, study data, and make discoveries in my field.";"2"
"Security";"Bodyguard";"I protect important people, stay alert, and prevent potential dangers.";"2"
"Security";"Lifeguard";"I watch swimmers, prevent accidents, and perform water rescues if needed.";"1"
"Security";"Security guard";"I protect buildings, monitor cameras, and ensure people’s safety daily.";"1"
"Security";"Soldier";"I serve in the armed forces, follow orders, and defend the country.";"2"
"Sports";"Athlete";"I train, compete in sports events, and maintain physical fitness.";"1"
"Sports";"Coach";"I train athletes, plan exercises, and give advice to improve performance.";"1"
"Sports";"Gym instructor";"I teach exercises, correct posture, and motivate clients in workouts.";"1"
"Sports";"Lifeguard";"I monitor pools or beaches, prevent accidents, and perform rescues.";"1"
"Sports";"Personal trainer";"I design fitness programs, guide workouts, and motivate clients.";"1"
"Sports";"Referee";"I enforce rules, make decisions, and ensure fair play in games.";"1"
"Technology";"Cybersecurity specialist";"I protect systems, monitor threats, and prevent data breaches.";"3"
"Technology";"Data analyst";"I collect, analyze, and interpret data to help make business decisions.";"2"
"Technology";"Graphic designer";"I create visual designs, logos, and layouts for media and products.";"1"
"Technology";"IT support specialist";"I troubleshoot technical problems and help users with software issues.";"1"
"Technology";"Programmer";"I write code, fix software bugs, and create programs for computers or apps.";"1"
"Technology";"Software engineer";"I design, develop, and test software systems for various applications.";"2"
"Technology";"Tech lead";"I guide teams on technical projects and ensure code quality and standards.";"3"
"Technology";"UX designer";"I design interfaces, improve user experience, and make apps easy to use.";"2"
"Technology";"Web developer";"I build websites, design pages, and ensure proper functionality online.";"2"
"Transportation";"Bus driver";"I drive buses, follow routes, and assist passengers on their journeys.";"1"
"Transportation";"Delivery driver";"I deliver packages or food quickly and ensure timely service.";"1"
"Transportation";"Flight attendant";"I assist passengers, serve food, and ensure safety during flights.";"1"
"Transportation";"Pilot";"I fly airplanes, follow flight plans, and ensure passenger safety.";"1"
"Transportation";"Ship captain";"I command vessels, navigate routes, and ensure crew safety at sea.";"3"
"Transportation";"Taxi driver";"I drive passengers to destinations and provide a comfortable ride.";"1"
"Transportation";"Train conductor";"I operate trains, check tickets, and ensure passenger safety.";"1"
"Transportation";"Truck driver";"I transport goods safely over long distances and follow traffic rules.";"1"
